kind,domain,source,title,published_at,slug,currencies,id,url,created_at,votes,calculated_sentiment,textblob_sentiment,vader_sentiment,transformer_sentiment
news,cointrackdaily.com,"{'title': 'cointrack daily', 'region': 'en', 'domain': 'cointrackdaily.com', 'path': None, 'type': 'feed'}",Semler scientific files to raise $500M as Bitcoin becomes cornerstone of strategy,2025-04-16T03:53:18Z,Semler-scientific-files-to-raise-500M-as-Bitcoin-becomes-cornerstone-of-strategy,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21097757,https://cryptopanic.com/news/21097757/Semler-scientific-files-to-raise-500M-as-Bitcoin-becomes-cornerstone-of-strategy?mtm_campaign=API-OFA,2025-04-16T03:53:18Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",neutral,neutral,neutral,negative
news,cointelegraph.com,"{'title': 'CoinTelegraph', 'region': 'en', 'domain': 'cointelegraph.com', 'path': None, 'type': 'feed'}","Semler Scientific reports $42M paper loss on Bitcoin, floats $500M stock sale",2025-04-16T03:50:31Z,Semler-Scientific-reports-42M-paper-loss-on-Bitcoin-floats-500M-stock-sale,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21097755,https://cryptopanic.com/news/21097755/Semler-Scientific-reports-42M-paper-loss-on-Bitcoin-floats-500M-stock-sale?mtm_campaign=API-OFA,2025-04-16T03:50:31Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",negative,neutral,negative,negative
media,libsyn.com,"{'title': 'The Breakdown', 'region': 'en', 'domain': 'libsyn.com', 'path': None, 'type': 'media'}",Supply Shock: The BPI's Plan To Make America A Bitcoin Nation | Grant McCarty,2025-04-16T03:48:00Z,Supply-Shock-The-BPIs-Plan-To-Make-America-A-Bitcoin-Nation-Grant-McCarty,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21097754,https://cryptopanic.com/news/21097754/Supply-Shock-The-BPIs-Plan-To-Make-America-A-Bitcoin-Nation-Grant-McCarty?mtm_campaign=API-OFA,2025-04-16T03:48:00Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",negative,neutral,neutral,negative
news,thecoinrepublic.com,"{'title': 'The Coin Republic', 'region': 'en', 'domain': 'thecoinrepublic.com', 'path': None, 'type': 'feed'}",XRP Price To Breakout As Bullish Reversal Pattern Builds?,2025-04-16T03:42:00Z,XRP-Price-To-Breakout-As-Bullish-Reversal-Pattern-Builds,"[{'code': 'XRP', 'title': 'XRP', 'slug': 'ripple', 'url': 'https://cryptopanic.com/news/ripple/'}]",21097739,https://cryptopanic.com/news/21097739/XRP-Price-To-Breakout-As-Bullish-Reversal-Pattern-Builds?mtm_campaign=API-OFA,2025-04-16T03:42:00Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",neutral,neutral,neutral,negative
news,cointelegraph.com,"{'title': 'CoinTelegraph', 'region': 'en', 'domain': 'cointelegraph.com', 'path': None, 'type': 'feed'}",Bitcoin bulls ‘coming back’ as key metric on Binance flips to neutral,2025-04-16T03:38:28Z,Bitcoin-bulls-coming-back-as-key-metric-on-Binance-flips-to-neutral,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21097731,https://cryptopanic.com/news/21097731/Bitcoin-bulls-coming-back-as-key-metric-on-Binance-flips-to-neutral?mtm_campaign=API-OFA,2025-04-16T03:38:28Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",neutral,neutral,neutral,negative
news,bitcoin.com,"{'title': 'Bitcoin.com', 'region': 'en', 'domain': 'bitcoin.com', 'path': None, 'type': 'feed'}","Markets Face Bumpy Climb After Peak Tariff Uncertainty, Nansen Says",2025-04-16T03:30:15Z,Markets-Face-Bumpy-Climb-After-Peak-Tariff-Uncertainty-Nansen-Says,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'S', 'title': 'Sonic (prev. FTM)', 'slug': 'sonic-3', 'url': 'https://cryptopanic.com/news/sonic-3/'}]",21097713,https://cryptopanic.com/news/21097713/Markets-Face-Bumpy-Climb-After-Peak-Tariff-Uncertainty-Nansen-Says?mtm_campaign=API-OFA,2025-04-16T03:30:15Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",negative,neutral,negative,negative
news,newsbtc.com,"{'title': 'NewsBTC', 'region': 'en', 'domain': 'newsbtc.com', 'path': None, 'type': 'feed'}",Ethereum Price  Dips Again—Time to Panic or Opportunity to Buy?,2025-04-16T03:28:58Z,Ethereum-Price-Dips-AgainTime-to-Panic-or-Opportunity-to-Buy,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}, {'code': 'USDT', 'title': 'Tether', 'slug': 'tether', 'url': 'https://cryptopanic.com/news/tether/'}]",21097682,https://cryptopanic.com/news/21097682/Ethereum-Price-Dips-AgainTime-to-Panic-or-Opportunity-to-Buy?mtm_campaign=API-OFA,2025-04-16T03:28:58Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",negative,neutral,negative,negative
news,theblock.co,"{'title': 'The Block', 'region': 'en', 'domain': 'theblock.co', 'path': None, 'type': 'feed'}",Semler Scientific files $500 million offering to buy more bitcoin amid DOJ settlement,2025-04-16T03:14:46Z,Semler-Scientific-files-500-million-offering-to-buy-more-bitcoin-amid-DOJ-settlement,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21097664,https://cryptopanic.com/news/21097664/Semler-Scientific-files-500-million-offering-to-buy-more-bitcoin-amid-DOJ-settlement?mtm_campaign=API-OFA,2025-04-16T03:14:46Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",neutral,positive,neutral,negative
news,coinpedia.org,"{'title': 'coinpedia', 'region': 'en', 'domain': 'coinpedia.org', 'path': None, 'type': 'feed'}",Semler Scientific Files for $500 Million Raise to Fuel Bitcoin Investment Strategy,2025-04-16T03:13:14Z,Semler-Scientific-Files-for-500-Million-Raise-to-Fuel-Bitcoin-Investment-Strategy,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'S', 'title': 'Sonic (prev. FTM)', 'slug': 'sonic-3', 'url': 'https://cryptopanic.com/news/sonic-3/'}]",21097660,https://cryptopanic.com/news/21097660/Semler-Scientific-Files-for-500-Million-Raise-to-Fuel-Bitcoin-Investment-Strategy?mtm_campaign=API-OFA,2025-04-16T03:13:14Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",neutral,neutral,neutral,negative
news,ambcrypto.com,"{'title': 'AMBCrypto', 'region': 'en', 'domain': 'ambcrypto.com', 'path': None, 'type': 'feed'}","Bitcoin: Despite 2024 bull run, the market feels unusually calm – Why?",2025-04-16T03:00:53Z,Bitcoin-Despite-2024-bull-run-the-market-feels-unusually-calm-Why,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': '$1', 'title': 'just buy $1 worth of this coin', 'slug': 'just-buy-1-worth-of-this-coin', 'url': 'https://cryptopanic.com/news/just-buy-1-worth-of-this-coin/'}]",21097272,https://cryptopanic.com/news/21097272/Bitcoin-Despite-2024-bull-run-the-market-feels-unusually-calm-Why?mtm_campaign=API-OFA,2025-04-16T03:00:53Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",positive,positive,positive,negative
